Link of Listing,Home Type,City,Address,Status,Price,Broker Name
https://www.zillow.com/homedetails/430-Avenue-X-2-Brooklyn-NY-11223/2053390492_zpid/,MULTI_FAMILY,Brooklyn,"430 Avenue X #2, Brooklyn, NY 11223",For Sale by Agent,"$948,000",ProBase Real Estate
https://www.zillow.com/homedetails/8015-6th-Ave-APT-A1-Brooklyn-NY-11209/245022873_zpid/,CONDO,Brooklyn,"8015 6th Ave APT A1, Brooklyn, NY 11209",For Sale by Agent,"$280,000",Brown Harris Stevens
https://www.zillow.com/homedetails/530-4th-St-3-Brooklyn-NY-11215/79728188_zpid/,CONDO,Brooklyn,"530 4th St #3, Brooklyn, NY 11215",For Sale by Agent,"$1,575,000",Corcoran
https://www.zillow.com/homedetails/1509-E-48th-St-Brooklyn-NY-11234/30762151_zpid/,SINGLE_FAMILY,Brooklyn,"1509 E 48th St, Brooklyn, NY 11234",For Sale by Agent,"$595,000",Tom Marco Real Estate
https://www.zillow.com/homedetails/1448-78th-St-Brooklyn-NY-11228/30707823_zpid/,SINGLE_FAMILY,Brooklyn,"1448 78th St, Brooklyn, NY 11228",For Sale by Agent,"$1,549,000",Robert Defalco Realty
https://www.zillow.com/homedetails/126-E-46th-St-Brooklyn-NY-11203/30657805_zpid/,MULTI_FAMILY,Brooklyn,"126 E 46th St, Brooklyn, NY 11203",For Sale by Agent,"$899,000",Hot Homes Realty LLC.
https://www.zillow.com/homedetails/66-Bay-22-St-Brooklyn-NY-11214/30712308_zpid/,MULTI_FAMILY,Brooklyn,"66 Bay 22 St, Brooklyn, NY 11214",For Sale by Agent,"$1,200,000",eXp Realty BKNY
https://www.zillow.com/homedetails/260-Hicks-St-Brooklyn-NY-11201/2054252491_zpid/,TOWNHOUSE,Brooklyn,"260 Hicks Street, Brooklyn Heights, NY 11201",For Sale by Agent,"$2,500,000",EXP Realty
https://www.zillow.com/homedetails/269-Bay-8th-St-APT-2R-Brooklyn-NY-11228/2053608530_zpid/,CONDO,Brooklyn,"269 Bay 8th St APT 2R, Brooklyn, NY 11228",For Sale by Agent,"$629,000",eXp Realty BKNY
https://www.zillow.com/homedetails/591-4th-St-Brooklyn-NY-11215/30587535_zpid/,SINGLE_FAMILY,Brooklyn,"591 4th St, Brooklyn, NY 11215",For Sale by Agent,"$3,950,000",Douglas Elliman
https://www.zillow.com/homedetails/465-Saint-Johns-Pl-Brooklyn-NY-11238/30590797_zpid/,TOWNHOUSE,Brooklyn,"465 Saint Johns Pl, Brooklyn, NY 11238",For Sale by Agent,"$2,999,000",SERHANT.
https://www.zillow.com/homedetails/100-Remsen-St-APT-3F-Brooklyn-NY-11201/245062543_zpid/,CONDO,Brooklyn,"100 Remsen St APT 3F, Brooklyn, NY 11201",For Sale by Agent,"$370,000",Corcoran
https://www.zillow.com/homedetails/595-Glenmore-Ave-Brooklyn-NY-11207/30638650_zpid/,SINGLE_FAMILY,Brooklyn,"595 Glenmore Avenue, East New York, NY 11207",Non Owner Occupied,"$314,900",Liberty Chateau Realty Inc
https://www.zillow.com/homedetails/770-E-45th-St-Brooklyn-NY-11203/30662060_zpid/,SINGLE_FAMILY,Brooklyn,"770 E 45th St, Brooklyn, NY 11203",For Sale by Agent,"$899,000",Compass
https://www.zillow.com/homedetails/376-President-St-APT-3K-Brooklyn-NY-11231/30572578_zpid/,CONDO,Brooklyn,"376 President St APT 3K, Brooklyn, NY 11231",For Sale by Agent,"$1,299,000",Compass
https://www.zillow.com/homedetails/4413-Avenue-M-Brooklyn-NY-11234/30762766_zpid/,SINGLE_FAMILY,Brooklyn,"4413 Avenue M, Brooklyn, NY 11234",For Sale by Agent,"$250,000",SOWAE CORP
https://www.zillow.com/homedetails/508-Lexington-Ave-APT-2-Brooklyn-NY-11221/2059540409_zpid/,CONDO,Brooklyn,"508 Lexington Ave APT 2, Brooklyn, NY 11221",For Sale by Agent,"$695,000",Corcoran
https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,TOWNHOUSE,Brooklyn,"18 Prospect Park W, Brooklyn, NY 11215",For Sale by Agent,"$13,995,000",Compass
https://www.zillow.com/homedetails/202-Maple-St-Brooklyn-NY-11225/30664683_zpid/,SINGLE_FAMILY,Brooklyn,"202 Maple St, Brooklyn, NY 11225",For Sale by Agent,"$2,249,000",Douglas Elliman
https://www.zillow.com/homedetails/215-E-9th-St-Brooklyn-NY-11218/30674072_zpid/,SINGLE_FAMILY,Brooklyn,"215 E 9th St, Brooklyn, NY 11218",For Sale by Agent,"$1,465,000",Compass
https://www.zillow.com/homedetails/1059-New-York-Ave-Brooklyn-NY-11203/30660158_zpid/,MULTI_FAMILY,Brooklyn,"1059 New York Ave, Brooklyn, NY 11203",For Sale by Agent,"$750,000",Corcoran
https://www.zillow.com/homedetails/1128-Ovington-Ave-Brooklyn-NY-11219/30690396_zpid/,MULTI_FAMILY,Brooklyn,"1128 Ovington Ave, Brooklyn, NY 11219",For Sale by Agent,"$1,390,000","Block & Lot Real Estate Services, Inc."
https://www.zillow.com/homedetails/341-Bradford-St-A-Brooklyn-NY-11207/2053521346_zpid/,MULTI_FAMILY,Brooklyn,"341 Bradford St #A, Brooklyn, NY 11207",For Sale by Agent,"$1,245,500",Keystone Realty USA Corp
https://www.zillow.com/homedetails/287-E-34th-St-Brooklyn-NY-11203/30659505_zpid/,SINGLE_FAMILY,Brooklyn,"287 E 34th St, Brooklyn, NY 11203",For Sale by Agent,"$649,000",Panache Realty Co
https://www.zillow.com/homedetails/632-E-52nd-St-Brooklyn-NY-11203/30655784_zpid/,MULTI_FAMILY,Brooklyn,"632 E 52nd St, Brooklyn, NY 11203",For Sale by Agent,"$699,000",Compass
https://www.zillow.com/homedetails/146-Newel-St-Brooklyn-NY-11222/30620811_zpid/,TOWNHOUSE,Brooklyn,"146 Newel St, Brooklyn, NY 11222",For Sale by Agent,"$3,975,000",Douglas Elliman
https://www.zillow.com/homedetails/303-Van-Brunt-St-1-Brooklyn-NY-11231/2054741253_zpid/,MULTI_FAMILY,Brooklyn,"303 Van Brunt St #1, Brooklyn, NY 11231",For Sale by Agent,"$1,895,000",Compass
https://www.zillow.com/homedetails/1019-Union-St-Brooklyn-NY-11225/30590900_zpid/,SINGLE_FAMILY,Brooklyn,"1019 Union St, Brooklyn, NY 11225",For Sale by Agent,"$1,950,000",Platt New York
https://www.zillow.com/homedetails/1462-E-23rd-St-Brooklyn-NY-11210/30755470_zpid/,SINGLE_FAMILY,Brooklyn,"1462 E 23rd St, Brooklyn, NY 11210",For Sale by Agent,"$799,000",Behfar Team LLC
https://www.zillow.com/homedetails/265-Clarkson-Ave-Brooklyn-NY-11226/30665693_zpid/,MULTI_FAMILY,Brooklyn,"265 Clarkson Ave, Brooklyn, NY 11226",For Sale by Agent,"$1,895,000",Corcoran
https://www.zillow.com/homedetails/2519-Mill-Ave-Brooklyn-NY-11234/30788982_zpid/,SINGLE_FAMILY,Brooklyn,"2519 Mill Ave, Brooklyn, NY 11234",For Sale by Agent,"$675,000",Talk of the Town Realty
https://www.zillow.com/homedetails/69-Bay-25-St-Brooklyn-NY-11214/30712430_zpid/,SINGLE_FAMILY,Brooklyn,"69 Bay 25 St, Brooklyn, NY 11214",For Sale by Agent,"$1,450,000",Remax Edge
https://www.zillow.com/homedetails/481-E-18th-St-Brooklyn-NY-11226/30668356_zpid/,SINGLE_FAMILY,Brooklyn,"481 E 18th St, Brooklyn, NY 11226",For Sale by Agent,"$2,650,000",Compass
https://www.zillow.com/homedetails/4211-Snyder-Ave-Brooklyn-NY-11203/30659832_zpid/,SINGLE_FAMILY,Brooklyn,"4211 Snyder Ave, Brooklyn, NY 11203",For Sale by Agent,"$550,000",Oxford Property Group
https://www.zillow.com/homedetails/38-Monroe-Pl-Brooklyn-NY-11201/245521711_zpid/,SINGLE_FAMILY,Brooklyn,"38 Monroe Pl, Brooklyn, NY 11201",For Sale by Agent,"$14,000,000",Compass
https://www.zillow.com/homedetails/2326-85th-St-Brooklyn-NY-11214/30729605_zpid/,SINGLE_FAMILY,Brooklyn,"2326 85th St, Brooklyn, NY 11214",For Sale by Agent,"$980,000",ProBase Real Estate
https://www.zillow.com/homedetails/1670-E-51st-St-Brooklyn-NY-11234/30764436_zpid/,SINGLE_FAMILY,Brooklyn,"1670 E 51st St, Brooklyn, NY 11234",For Sale by Agent,"$799,900",RE/MAX Edge
https://www.zillow.com/homedetails/259-New-York-Ave-Brooklyn-NY-11216/30592912_zpid/,TOWNHOUSE,Brooklyn,"259 New York Ave, Brooklyn, NY 11216",For Sale by Agent,"$2,650,000",SERHANT.
https://www.zillow.com/homedetails/2608-Haring-St-Brooklyn-NY-11235/30750199_zpid/,MULTI_FAMILY,Brooklyn,"2608 Haring St, Brooklyn, NY 11235",For Sale by Agent,"$1,175,000",Remax Edge
